# MineGuard-AI Synthetic Surface Subsidence Dataset (SIH26025 Demonstration Dataset)
# DISCLAIMER: Synthetic dataset validation — not field prediction accuracy.
node_id,tilt_x_deg,tilt_y_deg,tilt_magnitude_deg,vibration_rms,displacement_mm,crack_detected,neighbour_anomaly_count,risk_label
N02,-0.0,-0.74,0.74,0.096,0.6,0,1,0
N04,8.81,6.46,10.92,2.03,13.7,1,2,2
N03,8.65,5.19,10.09,0.932,22.4,0,3,2
N03,5.03,5.78,7.66,0.708,32.0,0,2,2
N04,0.34,-0.53,0.63,0.05,1.2,0,0,0
N03,2.13,2.73,3.46,0.558,6.4,0,2,1
N03,-0.69,-0.39,0.79,0.094,2.3,0,0,0
N04,8.58,6.05,10.5,1.353,15.3,1,2,2
N02,6.94,7.34,10.1,1.521,16.7,1,3,2
N01,-0.03,-0.39,0.39,0.117,1.9,0,0,0
N03,0.16,-0.38,0.41,0.038,0.4,0,1,0
N04,-0.68,-0.01,0.68,0.15,2.3,0,0,0
N04,-0.54,0.66,0.85,0.095,1.3,0,0,0
N03,1.76,2.33,2.92,0.493,4.0,1,2,1
N03,0.78,-0.15,0.79,0.117,1.8,0,1,0
N02,-0.13,0.3,0.33,0.094,0.3,0,1,0
N02,-0.55,0.55,0.78,0.136,0.5,0,0,0
N02,7.2,6.87,9.95,1.273,17.7,1,3,2
N03,1.95,1.51,2.47,0.451,7.5,0,1,1
N01,7.96,3.74,8.79,1.827,29.6,1,2,2
N04,-0.19,-0.03,0.19,0.124,0.6,0,1,0
N01,3.53,2.04,4.08,0.568,7.6,1,2,1
N02,0.41,0.71,0.82,0.096,1.5,0,1,0
N03,0.74,-0.59,0.95,0.108,0.3,0,0,0
N04,-0.17,-0.47,0.5,0.085,0.8,0,1,0
N02,5.39,3.95,6.68,1.071,13.3,1,3,2
N03,0.04,0.51,0.51,0.134,0.1,0,1,0
N03,0.12,0.7,0.71,0.145,1.5,0,1,0
N01,0.21,0.75,0.78,0.077,2.5,0,0,0
N02,3.46,1.49,3.77,0.357,4.6,0,2,1
N02,6.06,4.89,7.79,1.86,24.6,1,3,2
N02,0.37,-0.11,0.39,0.086,2.0,0,1,0
N04,-0.78,-0.4,0.88,0.141,1.0,0,1,0
N04,7.28,6.54,9.79,1.515,18.6,1,3,2
N04,6.63,7.86,10.28,1.695,26.4,1,3,2
N03,-0.79,0.58,0.98,0.11,0.5,0,0,0
N04,1.93,2.69,3.31,0.296,4.3,1,2,1
N03,0.78,0.46,0.91,0.075,2.2,0,0,0
N01,3.79,1.61,4.12,0.334,6.9,0,2,1
N04,0.36,0.3,0.47,0.04,0.3,0,0,0
N03,7.18,7.18,10.15,1.005,26.6,0,3,2
N01,7.49,7.94,10.92,1.499,20.5,1,2,2
N02,5.09,4.59,6.85,0.831,31.5,1,2,2
N04,-0.46,0.41,0.62,0.093,0.3,0,0,0
N03,-0.41,-0.54,0.68,0.13,0.2,0,0,0
N03,2.32,2.94,3.75,0.512,3.9,0,2,1
N03,-0.19,0.36,0.41,0.064,0.8,0,0,0
N01,-0.28,-0.47,0.55,0.07,0.1,0,0,0
N03,1.73,1.4,2.23,0.261,5.4,0,1,1
N03,0.4,0.52,0.66,0.111,1.5,0,0,0
N04,2.21,2.81,3.57,0.455,4.8,1,2,1
N03,0.16,-0.15,0.22,0.046,0.6,0,0,0
N02,8.92,3.81,9.7,0.935,18.3,1,3,2
N04,5.67,5.43,7.85,1.963,34.7,1,2,2
N02,8.8,5.5,10.38,1.711,34.6,0,3,2
N02,-0.2,0.54,0.58,0.077,1.6,0,0,0
N01,-0.48,0.66,0.82,0.104,1.8,0,0,0
N01,5.27,6.95,8.72,2.059,19.8,1,2,2
N04,-0.61,-0.33,0.69,0.078,0.1,0,0,0
N01,-0.78,-0.4,0.88,0.103,1.0,0,0,0
N01,0.0,0.3,0.3,0.064,0.4,0,1,0
N04,-0.17,-0.13,0.21,0.103,0.3,0,1,0
N02,0.39,0.29,0.49,0.074,0.5,0,0,0
N04,1.75,2.16,2.78,0.576,7.4,1,1,1
N01,3.01,2.69,4.04,0.532,4.1,0,2,1
N02,3.62,1.63,3.97,0.289,5.0,0,2,1
N01,-0.53,-0.36,0.64,0.136,1.6,0,1,0
N02,7.3,6.69,9.9,2.04,24.6,0,2,2
N03,-0.08,-0.29,0.3,0.098,2.2,0,0,0
N02,-0.62,-0.03,0.62,0.096,1.7,0,0,0
N02,2.21,2.79,3.56,0.544,5.1,0,1,1
N02,4.76,6.01,7.67,1.503,18.5,1,3,2
N02,1.52,2.61,3.02,0.267,5.0,0,2,1
N02,2.77,2.79,3.93,0.332,7.4,1,1,1
N04,4.76,7.54,8.92,2.094,11.1,1,3,2
N04,3.06,1.95,3.63,0.386,4.3,0,1,1
N01,6.94,5.58,8.91,1.498,19.7,0,2,2
N04,2.21,1.78,2.84,0.318,3.7,0,2,1
N04,0.44,0.4,0.59,0.051,0.7,0,0,0
N04,-0.58,0.75,0.95,0.11,0.8,0,1,0
N01,6.63,4.67,8.11,1.689,18.8,1,2,2
N01,-0.12,0.06,0.13,0.111,0.2,0,0,0
N03,5.81,6.98,9.08,1.494,23.2,0,2,2
N03,8.49,4.52,9.62,0.817,13.1,1,3,2
N04,3.8,2.91,4.79,0.341,4.2,0,2,1
N03,0.06,0.48,0.48,0.04,0.4,0,0,0
N03,7.44,5.94,9.52,1.416,12.4,1,2,2
N03,0.28,-0.06,0.29,0.11,1.6,0,0,0
N01,0.29,0.32,0.43,0.125,1.2,0,1,0
N04,-0.8,-0.24,0.84,0.086,2.3,0,1,0
N04,2.78,2.67,3.85,0.364,8.6,0,2,1
N04,-0.56,-0.21,0.6,0.1,1.8,0,1,0
N03,3.38,2.24,4.05,0.374,8.3,1,2,1
N03,-0.17,0.77,0.79,0.112,0.1,0,0,0
N02,2.43,1.58,2.9,0.247,4.6,0,2,1
N01,6.37,7.0,9.46,1.301,21.1,1,2,2
N03,1.95,1.46,2.44,0.283,4.2,1,1,1
N02,2.9,1.95,3.49,0.328,3.7,0,2,1
N03,3.27,1.99,3.83,0.393,6.0,0,1,1
N01,0.74,-0.53,0.91,0.038,0.6,0,0,0
N04,0.09,-0.72,0.73,0.079,0.6,0,0,0
N04,8.58,7.42,11.34,0.788,27.9,1,3,2
N03,-0.12,-0.43,0.45,0.13,0.5,0,0,0
N02,0.71,-0.39,0.81,0.053,0.0,0,0,0
N03,4.89,7.06,8.59,1.659,21.9,1,3,2
N01,0.79,0.6,0.99,0.081,1.4,0,1,0
N04,3.17,2.02,3.76,0.447,8.1,1,2,1
N04,5.15,4.53,6.86,0.839,24.4,1,3,2
N02,7.84,3.85,8.73,0.856,25.7,1,3,2
N03,-0.66,0.63,0.91,0.063,2.4,0,0,0
N03,-0.45,0.7,0.83,0.092,1.7,0,0,0
N03,5.48,6.78,8.72,0.774,24.0,1,2,2
N01,0.33,-0.58,0.67,0.049,0.4,0,0,0
N03,1.96,1.82,2.67,0.435,7.4,1,2,1
N04,3.04,2.74,4.09,0.381,8.1,0,1,1
N01,2.15,2.42,3.24,0.598,8.2,0,2,1
N03,0.77,-0.76,1.08,0.045,0.6,0,0,0
N01,0.74,0.23,0.77,0.098,0.2,0,0,0
N02,8.06,7.47,10.99,1.443,30.4,1,3,2
N01,2.0,2.92,3.54,0.356,5.6,1,1,1
N02,3.75,1.81,4.16,0.494,7.9,0,2,1
N03,8.04,6.31,10.22,0.923,25.5,0,2,2
N02,-0.55,-0.47,0.72,0.073,2.1,0,1,0
N03,7.38,5.31,9.09,1.887,11.2,0,2,2
N03,0.47,0.03,0.47,0.139,0.5,0,0,0
N03,-0.08,0.74,0.74,0.069,1.3,0,1,0
N01,0.77,0.09,0.78,0.087,2.2,0,0,0
N04,2.24,1.85,2.91,0.231,8.1,1,1,1
N01,3.53,2.66,4.42,0.27,6.5,0,2,1
N01,0.77,0.28,0.82,0.148,0.4,0,1,0
N03,2.48,2.33,3.4,0.555,4.2,0,1,1
N03,-0.71,0.18,0.73,0.023,2.3,0,1,0
N04,7.03,6.65,9.68,1.977,34.6,0,3,2
N03,6.15,6.02,8.61,1.526,21.5,1,3,2
N01,-0.1,0.13,0.16,0.106,0.5,0,1,0
N03,0.63,0.01,0.63,0.143,0.6,0,1,0
N04,0.07,-0.35,0.36,0.094,0.9,0,0,0
N03,-0.41,-0.14,0.43,0.111,1.9,0,0,0
N03,-0.03,-0.78,0.78,0.091,1.3,0,0,0
N04,2.0,2.98,3.59,0.332,5.9,0,2,1
N04,5.27,3.54,6.35,1.925,23.0,1,2,2
N04,0.09,0.55,0.56,0.103,1.1,0,1,0
N04,0.42,-0.45,0.62,0.125,2.0,0,0,0
N04,-0.23,-0.08,0.24,0.145,1.8,0,0,0
N02,6.46,6.33,9.04,2.092,32.5,0,2,2
N04,2.83,1.37,3.14,0.394,6.0,1,1,1
N02,-0.42,0.7,0.82,0.04,0.2,0,1,0
N03,2.71,2.98,4.03,0.553,7.2,1,2,1
N02,8.74,5.68,10.42,1.043,22.2,1,2,2
N03,0.16,-0.58,0.6,0.076,1.0,0,1,0
N03,2.1,1.08,2.36,0.226,8.3,0,2,1
N01,2.15,2.15,3.04,0.222,6.6,1,1,1
N02,-0.45,0.09,0.46,0.101,1.6,0,0,0
N02,-0.26,-0.37,0.45,0.11,0.3,0,1,0
N04,2.29,1.7,2.85,0.455,6.5,1,2,1
N03,2.09,1.76,2.73,0.241,7.6,1,2,1
N02,0.21,0.5,0.54,0.058,0.2,0,0,0
N03,3.12,1.47,3.45,0.279,5.9,0,2,1
N03,3.39,1.79,3.83,0.397,6.4,0,2,1
N04,0.14,-0.08,0.16,0.068,0.9,0,1,0
N01,-0.22,-0.01,0.22,0.095,0.8,0,1,0
N04,-0.11,-0.31,0.33,0.06,0.3,0,1,0
N04,-0.01,0.16,0.16,0.085,2.4,0,1,0
N02,0.7,-0.58,0.91,0.107,0.9,0,0,0
N02,3.11,1.06,3.29,0.48,6.1,1,1,1
N02,2.92,2.17,3.64,0.233,4.6,0,2,1
N02,0.28,-0.08,0.29,0.098,1.9,0,0,0
N02,8.86,4.5,9.94,0.945,29.2,1,3,2
N02,0.47,-0.2,0.51,0.026,1.7,0,0,0
N02,2.71,1.43,3.06,0.448,7.9,1,2,1
N01,3.48,1.16,3.67,0.524,4.1,0,1,1
N02,-0.27,0.75,0.8,0.132,0.8,0,0,0
N03,2.86,3.09,4.21,0.382,9.0,1,1,1
N01,2.68,1.17,2.92,0.373,5.7,0,2,1
N02,2.24,1.85,2.91,0.578,7.8,0,1,1
N04,1.87,2.44,3.07,0.576,6.5,0,2,1
N02,-0.14,-0.19,0.24,0.069,2.1,0,0,0
N03,0.01,-0.48,0.48,0.025,0.2,0,1,0
N04,0.01,-0.68,0.68,0.119,2.0,0,0,0
N01,-0.34,0.07,0.35,0.022,1.5,0,1,0
N02,3.15,1.18,3.36,0.355,4.0,1,1,1
N01,0.26,-0.32,0.41,0.106,1.7,0,0,0
N01,-0.08,-0.72,0.72,0.02,2.4,0,0,0
N04,5.26,6.48,8.35,1.523,33.5,1,3,2
N03,3.12,2.78,4.18,0.204,5.0,0,2,1
N04,2.53,1.37,2.88,0.257,3.7,0,2,1
N04,8.1,7.0,10.71,1.377,34.2,0,2,2
N03,6.27,5.54,8.37,1.927,30.4,1,3,2
N04,-0.31,-0.62,0.69,0.02,2.4,0,1,0
N04,-0.79,-0.69,1.05,0.077,0.7,0,0,0
N03,0.12,0.36,0.38,0.088,0.3,0,0,0
N01,4.73,6.9,8.37,2.075,32.0,1,3,2
N04,3.51,2.79,4.48,0.324,8.1,0,1,1
N02,-0.32,-0.66,0.73,0.029,2.1,0,0,0
N01,0.23,-0.06,0.24,0.12,1.0,0,0,0
N04,-0.11,-0.79,0.8,0.089,1.2,0,1,0
N04,-0.68,0.62,0.92,0.146,0.0,0,0,0
N01,7.47,6.57,9.95,2.086,33.1,1,2,2
N01,6.17,7.11,9.41,1.703,14.4,0,3,2
N04,1.92,2.21,2.93,0.234,5.3,0,1,1
N01,-0.25,0.06,0.26,0.111,0.3,0,0,0
N02,6.04,7.85,9.9,1.154,32.6,1,3,2
N01,0.76,-0.45,0.88,0.131,0.0,0,0,0
N01,0.42,0.73,0.84,0.119,0.9,0,0,0
N02,0.05,0.55,0.55,0.044,0.7,0,1,0
N04,0.48,-0.01,0.48,0.038,0.4,0,0,0
N02,0.02,0.27,0.27,0.048,2.2,0,1,0
N03,0.19,-0.31,0.36,0.119,1.1,0,0,0
N02,3.28,3.03,4.47,0.517,4.6,1,1,1
N02,8.04,4.22,9.08,2.08,21.1,1,3,2
N01,-0.78,0.1,0.79,0.122,2.4,0,0,0
N04,8.67,7.15,11.24,1.771,19.2,1,2,2
N03,8.24,5.62,9.97,1.136,11.2,1,2,2
N03,-0.21,0.21,0.3,0.034,0.6,0,0,0
N02,4.55,6.34,7.8,1.325,21.6,0,2,2
N04,-0.13,-0.22,0.26,0.087,0.1,0,0,0
N02,-0.05,0.69,0.69,0.02,0.4,0,0,0
N04,8.2,6.91,10.72,0.852,27.2,0,3,2
N01,1.57,2.79,3.2,0.591,7.0,0,1,1
N01,-0.12,-0.48,0.49,0.115,2.3,0,1,0
N04,1.89,2.0,2.75,0.56,3.9,0,1,1
N03,-0.16,0.47,0.5,0.077,0.6,0,1,0
N04,3.02,2.53,3.94,0.506,7.9,0,1,1
N04,3.75,2.65,4.59,0.268,8.2,1,2,1
N02,0.46,-0.35,0.58,0.135,0.7,0,0,0
N02,2.22,1.89,2.92,0.445,6.6,0,1,1
N04,2.18,2.38,3.23,0.259,8.5,0,1,1
N04,3.77,2.36,4.45,0.23,8.8,1,2,1
N04,0.53,-0.32,0.62,0.028,0.3,0,0,0
N02,-0.5,0.45,0.67,0.1,1.5,0,1,0
N03,-0.24,0.71,0.75,0.091,1.8,0,0,0
N03,3.24,1.19,3.45,0.326,5.5,0,2,1
N03,0.05,0.77,0.77,0.095,0.6,0,1,0
N01,0.42,-0.5,0.65,0.134,1.1,0,1,0
N03,-0.03,-0.53,0.53,0.122,1.0,0,0,0
N02,3.76,1.52,4.06,0.569,7.3,0,2,1
N04,0.78,-0.13,0.79,0.026,1.4,0,0,0
N04,5.8,5.54,8.02,1.02,16.5,1,2,2
N02,0.49,0.17,0.52,0.133,0.3,0,1,0
N01,2.76,1.49,3.14,0.48,7.0,1,2,1
N03,0.21,0.08,0.22,0.146,2.2,0,0,0
N04,0.63,-0.13,0.64,0.067,1.6,0,0,0
N02,0.33,-0.55,0.64,0.047,2.0,0,0,0
N01,1.81,1.27,2.21,0.434,7.4,1,1,1
N01,1.75,3.18,3.63,0.237,8.9,0,1,1
N02,2.91,1.31,3.19,0.261,5.3,1,1,1
N03,3.27,3.06,4.48,0.341,4.5,0,2,1
N04,4.64,3.55,5.84,0.939,12.4,1,2,2
N03,0.34,-0.04,0.34,0.082,1.5,0,0,0
N04,0.12,0.64,0.65,0.102,2.3,0,0,0
N03,8.63,4.25,9.62,1.026,12.9,1,3,2
N03,0.74,0.04,0.74,0.147,0.4,0,0,0
N03,-0.32,0.03,0.32,0.128,0.3,0,0,0
N04,8.15,6.19,10.23,1.941,16.5,1,2,2
N01,8.52,6.54,10.74,0.982,29.2,1,2,2
N02,-0.6,0.11,0.61,0.096,1.8,0,1,0
N04,0.17,-0.58,0.6,0.063,0.1,0,0,0
N04,7.27,4.76,8.69,1.494,18.4,1,2,2
N03,3.23,2.81,4.28,0.372,8.5,0,2,1
N03,2.06,1.26,2.41,0.242,6.5,0,2,1
N01,5.02,6.52,8.23,1.891,18.0,1,2,2
N01,0.2,-0.23,0.3,0.138,1.6,0,0,0
N02,2.92,2.76,4.02,0.521,4.6,1,1,1
N04,0.76,-0.47,0.89,0.039,1.8,0,0,0
N01,8.32,5.88,10.19,1.256,21.7,0,3,2
N01,0.25,0.75,0.79,0.125,1.2,0,1,0
N01,0.31,-0.66,0.73,0.147,1.7,0,0,0
N03,8.96,7.98,12.0,0.98,13.7,1,2,2
N03,0.04,0.29,0.29,0.094,0.2,0,0,0
N02,-0.45,-0.46,0.64,0.086,0.0,0,0,0
N02,-0.25,0.6,0.65,0.038,2.4,0,0,0
N04,-0.43,0.49,0.65,0.037,2.2,0,0,0
N03,2.06,1.03,2.3,0.548,8.8,1,1,1
N02,-0.11,-0.6,0.61,0.031,2.2,0,1,0
N03,-0.26,-0.25,0.36,0.088,1.5,0,0,0
N02,0.59,-0.36,0.69,0.053,2.1,0,1,0
N02,7.53,4.81,8.94,1.437,29.8,1,3,2
N04,0.8,0.5,0.94,0.024,1.9,0,1,0
N04,-0.0,-0.0,0.0,0.025,0.5,0,1,0
N02,0.64,-0.3,0.71,0.116,1.4,0,1,0
N02,-0.68,0.15,0.7,0.135,2.2,0,1,0
N03,-0.26,0.76,0.8,0.041,1.5,0,1,0
N03,-0.62,0.69,0.93,0.14,1.1,0,0,0
N02,7.49,5.61,9.36,1.611,22.8,1,3,2
N04,0.47,0.73,0.87,0.13,2.2,0,0,0
N02,-0.63,0.74,0.97,0.137,0.8,0,0,0
N02,-0.29,0.43,0.52,0.097,1.7,0,0,0
N03,5.52,3.98,6.81,0.875,14.9,1,3,2
N04,0.54,0.78,0.95,0.042,0.2,0,1,0
N04,6.64,5.09,8.37,1.993,17.8,0,2,2
N03,7.8,7.08,10.53,1.968,17.0,0,3,2
N01,-0.47,-0.35,0.59,0.021,0.4,0,0,0
N03,-0.07,0.7,0.7,0.063,1.0,0,0,0
N01,-0.47,-0.67,0.82,0.145,0.2,0,1,0
N02,0.33,0.09,0.34,0.091,0.9,0,1,0
N01,0.13,0.41,0.43,0.058,1.8,0,0,0
N01,2.12,2.01,2.92,0.558,3.5,0,1,1
N03,-0.12,0.06,0.13,0.138,0.6,0,0,0
N02,2.23,2.09,3.06,0.399,7.4,0,1,1
N03,-0.25,-0.4,0.47,0.092,0.4,0,0,0
N02,2.56,1.46,2.95,0.395,6.0,0,2,1
N03,2.89,2.73,3.98,0.244,3.9,0,1,1
N01,-0.39,-0.66,0.77,0.081,0.4,0,1,0
N03,2.17,1.59,2.69,0.473,7.2,0,2,1
N04,3.3,2.62,4.21,0.561,4.7,0,2,1
N04,3.71,1.08,3.86,0.41,4.4,0,2,1
N01,-0.54,-0.73,0.91,0.14,0.6,0,0,0
N02,0.21,-0.29,0.36,0.142,0.6,0,1,0
N01,-0.15,-0.63,0.65,0.063,2.0,0,0,0
N02,0.0,-0.42,0.42,0.107,0.5,0,1,0
N03,2.1,3.11,3.75,0.414,7.6,1,1,1
N02,4.79,6.54,8.11,0.771,14.2,1,3,2
N04,0.62,-0.59,0.86,0.073,0.1,0,1,0
N03,8.72,3.62,9.44,1.801,33.5,0,2,2
N02,0.61,-0.22,0.65,0.068,1.6,0,0,0
N01,0.43,-0.71,0.83,0.085,0.9,0,0,0
N03,0.21,0.67,0.7,0.097,2.2,0,0,0
N01,7.92,3.87,8.81,1.992,24.6,1,3,2
N02,-0.32,0.41,0.52,0.094,1.1,0,0,0
N01,0.54,-0.12,0.55,0.05,0.7,0,0,0
N04,0.06,-0.16,0.17,0.078,2.1,0,1,0
N03,5.18,4.01,6.55,1.436,27.7,1,3,2
N04,5.06,6.77,8.45,2.086,26.5,0,2,2
N02,0.39,-0.52,0.65,0.079,1.2,0,0,0
N01,2.19,2.42,3.26,0.461,3.8,1,2,1
N03,2.49,2.02,3.21,0.229,4.8,0,1,1
N01,1.63,2.1,2.66,0.394,7.6,0,2,1
N04,3.29,2.77,4.3,0.396,3.9,0,2,1
N01,-0.8,-0.46,0.92,0.068,1.9,0,0,0
N04,0.79,0.06,0.79,0.088,1.5,0,1,0
N04,4.69,6.29,7.85,1.073,28.5,1,3,2
N02,0.06,-0.24,0.25,0.024,0.4,0,0,0
N01,-0.3,-0.62,0.69,0.144,0.6,0,0,0
N04,5.78,5.85,8.22,2.092,27.0,1,3,2
N01,-0.72,0.79,1.07,0.139,1.4,0,0,0
N01,3.66,1.69,4.03,0.38,8.0,0,1,1
N02,4.99,6.49,8.19,0.955,18.7,1,2,2
N01,-0.4,-0.01,0.4,0.104,1.5,0,1,0
N04,7.58,4.85,9.0,1.287,31.0,1,3,2
N01,3.33,1.16,3.53,0.289,8.6,1,1,1
N04,-0.27,-0.02,0.27,0.097,1.2,0,0,0
N04,-0.62,0.1,0.63,0.127,0.5,0,1,0
N02,0.3,0.77,0.83,0.096,0.5,0,1,0
N01,-0.35,-0.79,0.86,0.133,1.9,0,1,0
N04,0.03,0.6,0.6,0.118,1.0,0,1,0
N02,-0.28,0.34,0.44,0.035,2.0,0,0,0
N01,3.62,1.42,3.89,0.502,3.6,1,2,1
N01,0.28,-0.79,0.84,0.082,2.4,0,0,0
N01,0.59,0.38,0.7,0.089,2.4,0,0,0
N01,-0.63,0.09,0.64,0.02,0.5,0,0,0
N02,5.86,4.07,7.13,1.489,16.8,1,2,2
N04,6.96,3.54,7.81,1.057,32.5,1,3,2
N04,1.9,1.09,2.19,0.348,7.9,0,1,1
N04,0.12,0.3,0.32,0.111,0.5,0,1,0
N01,8.02,4.96,9.43,0.982,25.9,1,2,2
N01,0.41,-0.17,0.44,0.066,2.2,0,0,0
N01,2.43,1.85,3.05,0.487,5.8,0,1,1
N01,0.18,-0.09,0.2,0.12,1.0,0,0,0
N01,-0.36,-0.1,0.37,0.039,1.6,0,0,0
N03,2.86,1.36,3.17,0.34,7.0,1,1,1
N03,0.03,0.38,0.38,0.076,2.0,0,0,0
N02,0.53,-0.7,0.88,0.05,1.1,0,1,0
N04,0.03,-0.41,0.41,0.059,1.7,0,0,0
N02,2.66,2.3,3.52,0.566,7.8,0,1,1
N04,7.02,6.27,9.41,2.092,32.6,1,2,2
N04,4.81,3.75,6.1,0.733,22.6,1,3,2
N01,-0.51,0.75,0.91,0.036,1.4,0,0,0
N04,0.68,-0.13,0.69,0.083,1.1,0,0,0
N02,-0.02,-0.6,0.6,0.038,1.4,0,0,0
N02,6.46,5.71,8.62,1.498,28.9,0,2,2
N04,1.53,3.07,3.43,0.479,4.3,1,2,1
N04,6.51,7.36,9.83,2.073,14.7,1,3,2
N04,8.06,4.55,9.26,1.991,18.4,0,3,2
N03,-0.44,-0.2,0.48,0.105,2.4,0,0,0
N03,-0.6,-0.06,0.6,0.116,1.1,0,0,0
N03,3.39,1.77,3.82,0.545,4.5,0,2,1
N03,3.79,1.59,4.11,0.488,3.7,1,2,1
N03,-0.27,0.77,0.82,0.02,1.4,0,0,0
N01,4.8,5.53,7.32,1.119,27.8,1,3,2
N01,8.04,6.19,10.15,1.368,13.3,1,3,2
N04,3.29,1.08,3.46,0.531,8.8,1,1,1
N04,2.96,2.17,3.67,0.213,8.9,0,2,1
N02,3.08,3.02,4.31,0.539,6.9,1,1,1
N02,0.05,-0.22,0.23,0.126,1.4,0,0,0
N02,0.29,-0.1,0.31,0.108,2.0,0,1,0
N02,0.15,-0.33,0.36,0.059,2.3,0,0,0
N03,1.54,2.8,3.2,0.212,3.6,1,2,1
N03,0.31,0.71,0.77,0.084,1.9,0,0,0
N02,3.58,2.65,4.45,0.456,7.9,0,2,1
N04,6.67,5.22,8.47,0.846,16.8,1,3,2
N02,0.19,0.23,0.3,0.148,1.8,0,0,0
N02,0.39,0.14,0.41,0.099,0.9,0,1,0
N04,-0.01,-0.2,0.2,0.106,1.9,0,1,0
N04,8.92,5.95,10.72,2.0,19.3,1,2,2
N04,0.12,0.65,0.66,0.07,1.2,0,0,0
N04,6.2,5.76,8.46,1.612,25.2,1,3,2
N04,3.33,1.11,3.51,0.446,5.9,0,2,1
N01,-0.17,0.06,0.18,0.103,1.2,0,0,0
N03,0.44,0.5,0.67,0.109,2.4,0,0,0
N03,2.74,2.62,3.79,0.586,5.6,0,1,1
N02,3.8,2.03,4.31,0.363,8.4,0,2,1
N04,0.69,-0.13,0.7,0.083,1.1,0,1,0
N01,0.07,-0.29,0.3,0.065,0.2,0,1,0
N01,0.56,-0.22,0.6,0.135,1.5,0,0,0
N04,0.51,0.45,0.68,0.056,0.7,0,0,0
N03,1.8,2.8,3.33,0.438,5.3,0,1,1
N02,-0.5,0.73,0.88,0.022,1.2,0,1,0
N02,0.74,-0.4,0.84,0.073,2.4,0,1,0
N01,5.65,6.6,8.69,1.245,26.9,1,3,2
N03,6.54,4.58,7.98,1.225,21.4,1,3,2
N03,4.87,4.12,6.38,1.034,26.4,1,3,2
N03,5.38,6.44,8.39,1.389,28.9,1,3,2
N02,-0.69,0.05,0.69,0.046,0.2,0,0,0
N04,7.67,6.43,10.01,0.965,30.8,1,3,2
N04,7.09,3.73,8.01,2.055,20.9,1,2,2
N01,0.58,-0.73,0.93,0.145,1.8,0,0,0
N01,0.53,0.43,0.68,0.079,0.0,0,0,0
N01,7.63,7.01,10.36,1.369,34.1,0,2,2
N02,0.14,-0.7,0.71,0.091,2.4,0,0,0
N02,3.71,1.65,4.06,0.29,5.6,1,1,1
N02,8.0,6.81,10.51,1.18,15.8,0,3,2
N01,3.27,1.89,3.78,0.583,6.2,0,1,1
N02,7.83,3.99,8.79,1.154,21.2,0,3,2
N04,-0.63,0.72,0.96,0.142,0.8,0,1,0
N02,7.7,5.27,9.33,1.667,13.0,1,3,2
N01,-0.39,-0.01,0.39,0.039,0.9,0,0,0
N04,-0.59,0.4,0.71,0.077,0.7,0,0,0
N02,1.62,2.46,2.95,0.584,7.0,1,1,1
N02,2.95,1.1,3.15,0.319,3.5,1,2,1
N04,-0.65,-0.5,0.82,0.032,0.0,0,1,0
N04,-0.6,0.01,0.6,0.058,0.4,0,0,0
N03,6.84,3.73,7.79,1.825,31.4,0,3,2
N01,-0.11,-0.58,0.59,0.094,1.1,0,0,0
N04,6.79,6.82,9.62,1.376,21.9,0,2,2
N04,4.86,4.03,6.31,1.567,31.4,1,2,2
N02,1.88,1.43,2.36,0.523,7.2,1,1,1
N01,1.69,3.1,3.53,0.533,9.0,0,1,1
N03,5.42,7.34,9.12,1.77,33.3,1,2,2
N04,0.79,0.78,1.11,0.048,0.9,0,1,0
N01,4.79,5.2,7.07,0.822,27.3,1,2,2
N02,5.93,7.22,9.34,0.91,13.6,0,3,2
N04,0.53,-0.27,0.59,0.023,2.1,0,0,0
N02,-0.23,0.59,0.63,0.061,1.6,0,1,0
N01,0.5,-0.23,0.55,0.061,2.4,0,0,0
N01,-0.59,0.17,0.61,0.037,2.3,0,0,0
N01,-0.31,0.4,0.51,0.143,0.2,0,1,0
N01,5.4,6.06,8.12,1.652,12.7,1,3,2
N02,4.92,6.78,8.38,2.003,15.7,1,3,2
N04,6.71,7.11,9.78,1.416,23.5,1,3,2
N01,0.32,0.02,0.32,0.035,2.4,0,1,0
N04,3.37,2.18,4.01,0.378,4.2,0,2,1
N01,7.07,4.99,8.65,0.783,17.5,0,3,2
N03,1.7,2.21,2.79,0.21,4.3,0,2,1
N01,0.36,0.17,0.4,0.07,0.9,0,1,0
N03,3.05,2.63,4.03,0.348,5.7,1,2,1
N02,0.46,0.29,0.54,0.135,0.4,0,1,0
N02,3.64,2.0,4.15,0.352,6.7,0,2,1
N04,8.55,6.88,10.97,1.036,24.4,1,2,2
N02,7.85,5.36,9.51,1.072,31.0,1,2,2
N04,2.61,2.63,3.71,0.33,4.6,1,1,1
N03,2.52,1.48,2.92,0.304,4.9,0,2,1
N04,-0.06,0.71,0.71,0.103,0.8,0,0,0
N04,-0.75,0.16,0.77,0.074,0.9,0,1,0
N03,3.49,1.13,3.67,0.553,5.1,1,1,1
N02,0.49,0.02,0.49,0.054,0.0,0,0,0
N02,-0.7,0.14,0.71,0.079,0.8,0,0,0
N02,-0.75,-0.73,1.05,0.144,0.2,0,0,0
N02,0.07,-0.78,0.78,0.042,1.8,0,1,0
N04,0.73,-0.01,0.73,0.034,1.2,0,0,0
